MemberType,Name,DataType
property,TargetFileName,WideString
property,UniqueId,WideString
procedure,UpdatePart_PostProcess,
procedure,UpdatePart_PreProcess,
procedure,UpdatePrimitivesAccessibility,
property,UseDBTableName,Boolean
property,UseLibraryName,Boolean
procedure,ValidateImplementationsCurrentState,
procedure,ValidateLink,
property,VariantOption,TVariantOption
property,VaultGUID,WideString
property,VaultHRID,WideString
